___,_____,____ ______,,,,,,,,,,,,,,,,,,,,,,,
lame,"1. ___2. ___3. ____",,,,,,,,,,,,,,,,,,,,,,,,
lament,"______, _____",,,,,,,,,,,,,,,,,,,,,,,,
land,"1. _____, _____ _____2. ____, ___",,,,,,,,,,,,,,,,,,,,,,,,
landscape,___,,,,,,,,,,,,,,,,,,,,,,,,
language,___,,,,,,,,,,,,,,,,,,,,,,,,
languid,"____, ____, ___ ___",,,,,,,,,,,,,,,,,,,,,,,,
lapsed,"1. ______, ___ ______ _____2. ___, __",,,,,,,,,,,,,,,,,,,,,,,,
large,____,,,,,,,,,,,,,,,,,,,,,,,,
largely,"_____ ____, _____",,,,,,,,,,,,,,,,,,,,,,,,
last,"1. _____,2. ______ ____",,,,,,,,,,,,,,,,,,,,,,,,
late,"1. _____2. ____",,,,,,,,,,,,,,,,,,,,,,,,
lately,_______,,,,,,,,,,,,,,,,,,,,,,,,
latent,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
latitude,"1. __ ____2.  ____ _____3. ____ _____",,,,,,,,,,,,,,,,,,,,,,,,
latter,"______, ____",,,,,,,,,,,,,,,,,,,,,,,,
launch,____,,,,,,,,,,,,,,,,,,,,,,,,
law,"1. ___, ____2. ____",,,,,,,,,,,,,,,,,,,,,,,,
lead to,______ _,,,,,,,,,,,,,,,,,,,,,,,,
lean,"1. _____2. ___, ____",,,,,,,,,,,,,,,,,,,,,,,,
learn,_____,,,,,,,,,,,,,,,,,,,,,,,,
leave,_____,,,,,,,,,,,,,,,,,,,,,,,,
lecture,_____,,,,,,,,,,,,,,,,,,,,,,,,
left wing,______,,,,,,,,,,,,,,,,,,,,,,,,
legacy,"1. _____2. ____",,,,,,,,,,,,,,,,,,,,,,,,
legal,____,,,,,,,,,,,,,,,,,,,,,,,,
legend,____,,,,,,,,,,,,,,,,,,,,,,,,
legible,"1. ____2. ____",,,,,,,,,,,,,,,,,,,,,,,,
legislate,_____,,,,,,,,,,,,,,,,,,,,,,,,
legislator,_____,,,,,,,,,,,,,,,,,,,,,,,,
legislation,_____,,,,,,,,,,,,,,,,,,,,,,,,
leisure,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
length,____,,,,,,,,,,,,,,,,,,,,,,,,
less,____,,,,,,,,,,,,,,,,,,,,,,,,
lessen,"______, ______",,,,,,,,,,,,,,,,,,,,,,,,
lesson,"1. _____2. ___",,,,,,,,,,,,,,,,,,,,,,,,
lethargic,"____, ____, ___",,,,,,,,,,,,,,,,,,,,,,,,
liable,"1. _____2. _____, _____ __ ____",,,,,,,,,,,,,,,,,,,,,,,,
liability,"1. ________2. ______, ______",,,,,,,,,,,,,,,,,,,,,,,,
liberally,"_______, _____ _____",,,,,,,,,,,,,,,,,,,,,,,,
liberate,_____,,,,,,,,,,,,,,,,,,,,,,,,
liberation,_____,,,,,,,,,,,,,,,,,,,,,,,,
lie,"___, ____",,,,,,,,,,,,,,,,,,,,,,,,
lifelong,_____ ___ _____,,,,,,,,,,,,,,,,,,,,,,,,
life span,_____ ____,,,,,,,,,,,,,,,,,,,,,,,,
light,"1. ______2. __, ____3. ___",,,,,,,,,,,,,,,,,,,,,,,,
light bulb,____,,,,,,,,,,,,,,,,,,,,,,,,
lightly,_____,,,,,,,,,,,,,,,,,,,,,,,,
likelihood,______,,,,,,,,,,,,,,,,,,,,,,,,
likewise,"_____ ____, ___ __",,,,,,,,,,,,,,,,,,,,,,,,
limb,"____, __",,,,,,,,,,,,,,,,,,,,,,,,
limber,"1. ____2. ____",,,,,,,,,,,,,,,,,,,,,,,,
limit,"____, ___",,,,,,,,,,,,,,,,,,,,,,,,
linger,"_______, _______",,,,,,,,,,,,,,,,,,,,,,,,
linguist,"_________, ____",,,,,,,,,,,,,,,,,,,,,,,,
link,"1. _____, _____2. _____, ____",,,,,,,,,,,,,,,,,,,,,,,,
linked with,____ _-,,,,,,,,,,,,,,,,,,,,,,,,
literally,_____ ______,,,,,,,,,,,,,,,,,,,,,,,,
literate,"_____, _______",,,,,,,,,,,,,,,,,,,,,,,,
literature,_____,,,,,,,,,,,,,,,,,,,,,,,,
load,"1. ______, ______2. ___, ____",,,,,,,,,,,,,,,,,,,,,,,,
loathe,____,,,,,,,,,,,,,,,,,,,,,,,,
local,_____,,,,,,,,,,,,,,,,,,,,,,,,
location,_____,,,,,,,,,,,,,,,,,,,,,,,,
lodging,"1. ________, ____2. ____ ____",,,,,,,,,,,,,,,,,,,,,,,,
logic,______,,,,,,,,,,,,,,,,,,,,,,,,
lone,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
loom,"1. ______ _______2. _____, _____ _____",,,,,,,,,,,,,,,,,,,,,,,,
lose,"____, ______",,,,,,,,,,,,,,,,,,,,,,,,
lost,"____, ____, _____",,,,,,,,,,,,,,,,,,,,,,,,
loud,"_____, ____",,,,,,,,,,,,,,,,,,,,,,,,
loudly,____ __,,,,,,,,,,,,,,,,,,,,,,,,
lucrative,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
lucid,"____, ____, ____, ____, ____",,,,,,,,,,,,,,,,,,,,,,,,
ludicrous,_____,,,,,,,,,,,,,,,,,,,,,,,,
luminous,____,,,,,,,,,,,,,,,,,,,,,,,,
lure,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
luring,____,,,,,,,,,,,,,,,,,,,,,,,,
lush,"1. ____, ____, _____, _____2. _____",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,M,,,,,,,,,,,,,,,,,,,,,,,,
machinery,______,,,,,,,,,,,,,,,,,,,,,,,,
magical,____,,,,,,,,,,,,,,,,,,,,,,,,
magnitude,"______, ______, ____, _____",,,,,,,,,,,,,,,,,,,,,,,,
main,"_____, ____ ",,,,,,,,,,,,,,,,,,,,,,,,
mainly,_____,,,,,,,,,,,,,,,,,,,,,,,,
maintain,"______, _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
maintenance,"1. ______2. _____, ____",,,,,,,,,,,,,,,,,,,,,,,,
maintain that,"____ _, ____ _",,,,,,,,,,,,,,,,,,,,,,,,
maize ,____,,,,,,,,,,,,,,,,,,,,,,,,
majestic,______,,,,,,,,,,,,,,,,,,,,,,,,
major,"1. _____, ____, _____2.  __ ___",,,,,,,,,,,,,,,,,,,,,,,,
majority,___,,,,,,,,,,,,,,,,,,,,,,,,
malfunction,_____ ____ ,,,,,,,,,,,,,,,,,,,,,,,,
malicious,_____,,,,,,,,,,,,,,,,,,,,,,,,
malnutrition,__- _____,,,,,,,,,,,,,,,,,,,,,,,,
manage,"1. ______2. ____",,,,,,,,,,,,,,,,,,,,,,,,
manageable,_____ _____ ____,,,,,,,,,,,,,,,,,,,,,,,,
manager,"____, ____, _____",,,,,,,,,,,,,,,,,,,,,,,,
manipulation,"_________, _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
manner,"____, ____, _______, _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
mansion,_____,,,,,,,,,,,,,,,,,,,,,,,,
manual,"1. ____ (____ _____)2. ___ ______, _____",,,,,,,,,,,,,,,,,,,,,,,,
manufacture,_____,,,,,,,,,,,,,,,,,,,,,,,,
mar,"___, _____",,,,,,,,,,,,,,,,,,,,,,,,
marine,___,,,,,,,,,,,,,,,,,,,,,,,,
margin,______,,,,,,,,,,,,,,,,,,,,,,,,
mark,"1. ____2. ___, ____",,,,,,,,,,,,,,,,,,,,,,,,
market,"___, _____",,,,,,,,,,,,,,,,,,,,,,,,
masses,"___, ______",,,,,,,,,,,,,,,,,,,,,,,,
massive,"______, ____",,,,,,,,,,,,,,,,,,,,,,,,
master,"1. _______, _______2. ____, _____",,,,,,,,,,,,,,,,,,,,,,,,
masterpiece,_____ ____,,,,,,,,,,,,,,,,,,,,,,,,
match,"1. _____2. _____3. ____ ____4. _____ ",,,,,,,,,,,,,,,,,,,,,,,,
matchless,____ ____ __,,,,,,,,,,,,,,,,,,,,,,,,
material,______,,,,,,,,,,,,,,,,,,,,,,,,
materialize,"______, _____ _____",,,,,,,,,,,,,,,,,,,,,,,,
matter,"1. ____2.  _____",,,,,,,,,,,,,,,,,,,,,,,,
mature,____,,,,,,,,,,,,,,,,,,,,,,,,
maturity,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
maze,____,,,,,,,,,,,,,,,,,,,,,,,,
meadow,___,,,,,,,,,,,,,,,,,,,,,,,,
mean,"1. _______2. _____3. _____",,,,,,,,,,,,,,,,,,,,,,,,
means,"1. _____ 2. ____, _____,3.______, _____",,,,,,,,,,,,,,,,,,,,,,,,
measure,"1. _____, ___2. __, ____",,,,,,,,,,,,,,,,,,,,,,,,
media,"____, _____ ______ ______",,,,,,,,,,,,,,,,,,,,,,,,
mediate,_____,,,,,,,,,,,,,,,,,,,,,,,,
medical,_____,,,,,,,,,,,,,,,,,,,,,,,,
medieval,___ _______,,,,,,,,,,,,,,,,,,,,,,,,
mediterranean,__ ______,,,,,,,,,,,,,,,,,,,,,,,,
member,___ (______ _____),,,,,,,,,,,,,,,,,,,,,,,,
memorization,_____,,,,,,,,,,,,,,,,,,,,,,,,
mend,"1. ____2. ______, ______",,,,,,,,,,,,,,,,,,,,,,,,
mental,____,,,,,,,,,,,,,,,,,,,,,,,,
mention,_____,,,,,,,,,,,,,,,,,,,,,,,,
mercifully,______,,,,,,,,,,,,,,,,,,,,,,,,
mercy,_____,,,,,,,,,,,,,,,,,,,,,,,,
merchandise,_____,,,,,,,,,,,,,,,,,,,,,,,,
mere,"__, ____",,,,,,,,,,,,,,,,,,,,,,,,
merge,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
mess up,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
method,"_____, ____, ___",,,,,,,,,,,,,,,,,,,,,,,,
meticulous,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
migrate,____,,,,,,,,,,,,,,,,,,,,,,,,
migration,_____,,,,,,,,,,,,,,,,,,,,,,,,
mild,"1. ____, ____2. ___, ___ ____ _____",,,,,,,,,,,,,,,,,,,,,,,,
milestone,___ ___,,,,,,,,,,,,,,,,,,,,,,,,
mimic,_____,,,,,,,,,,,,,,,,,,,,,,,,
mine,____,,,,,,,,,,,,,,,,,,,,,,,,
minimize,"______ ________, _____",,,,,,,,,,,,,,,,,,,,,,,,
mingle,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
minority,_____,,,,,,,,,,,,,,,,,,,,,,,,
misbehave,"_____, _____ _____ _____",,,,,,,,,,,,,,,,,,,,,,,,
miscalculation,_____ ____,,,,,,,,,,,,,,,,,,,,,,,,
misconception,_____ ______,,,,,,,,,,,,,,,,,,,,,,,,
misery,"_______, ___",,,,,,,,,,,,,,,,,,,,,,,,
misinterpreted ,____ __ ____,,,,,,,,,,,,,,,,,,,,,,,,
mislead,______ ____,,,,,,,,,,,,,,,,,,,,,,,,
mistaken,_____,,,,,,,,,,,,,,,,,,,,,,,,
mistakenly,"_____, ____ ___",,,,,,,,,,,,,,,,,,,,,,,,
mixture,______,,,,,,,,,,,,,,,,,,,,,,,,
mock,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
mode,"1. ____, ___, ____, _____2. ____, _____",,,,,,,,,,,,,,,,,,,,,,,,
moderate,"____, _____, ____",,,,,,,,,,,,,,,,,,,,,,,,
moderation,"______, _____",,,,,,,,,,,,,,,,,,,,,,,,
modest,____,,,,,,,,,,,,,,,,,,,,,,,,
modification,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
modify,____,,,,,,,,,,,,,,,,,,,,,,,,
modulation,"_____, ______",,,,,,,,,,,,,,,,,,,,,,,,
mold,"1. _____, ___, _____2. ____",,,,,,,,,,,,,,,,,,,,,,,,
momentary,____,,,,,,,,,,,,,,,,,,,,,,,,
monetary,____,,,,,,,,,,,,,,,,,,,,,,,,
monotonous,"________, _____, ______, ____ __ ____",,,,,,,,,,,,,,,,,,,,,,,,
moral,_____,,,,,,,,,,,,,,,,,,,,,,,,
moratorium,_____ (____ ____ _____),,,,,,,,,,,,,,,,,,,,,,,,
mortal,"1. __ ____2. _____",,,,,,,,,,,,,,,,,,,,,,,,
mortality,_____ ,,,,,,,,,,,,,,,,,,,,,,,,
moth,__,,,,,,,,,,,,,,,,,,,,,,,,
motif,_____,,,,,,,,,,,,,,,,,,,,,,,,
motion,"1. _____, _____2. ____ ______3. ____, _____",,,,,,,,,,,,,,,,,,,,,,,,
motionless,___ _____,,,,,,,,,,,,,,,,,,,,,,,,
motive,____,,,,,,,,,,,,,,,,,,,,,,,,
mundane,"____, _______, ____, ____",,,,,,,,,,,,,,,,,,,,,,,,
mural,_____ ___,,,,,,,,,,,,,,,,,,,,,,,,
murderous,_____,,,,,,,,,,,,,,,,,,,,,,,,
mutual,____,,,,,,,,,,,,,,,,,,,,,,,,
mysterious,______,,,,,,,,,,,,,,,,,,,,,,,,
myth,"_____, ____",,,,,,,,,,,,,,,,,,,,,,,,
,N,,,,,,,,,,,,,,,,,,,,,,,,
naive,"_____, ____",,,,,,,,,,,,,,,,,,,,,,,,
namely,"_____, ______",,,,,,,,,,,,,,,,,,,,,,,,
narration,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
nasal,"_____, ____ ___",,,,,,,,,,,,,,,,,,,,,,,,
nationalism,_______,,,,,,,,,,,,,,,,,,,,,,,,
native,"_____, ____ _____",,,,,,,,,,,,,,,,,,,,,,,,
nautical,"_____ ______, ______ __ ______",,,,,,,,,,,,,,,,,,,,,,,,
naval,"___, _____ ____ ___ __ _______",,,,,,,,,,,,,,,,,,,,,,,,
navigate,"_____, _______.",,,,,,,,,,,,,,,,,,,,,,,,
near,"____, ___",,,,,,,,,,,,,,,,,,,,,,,,
nearly,____,,,,,,,,,,,,,,,,,,,,,,,,
neat,"_____, ___",,,,,,,,,,,,,,,,,,,,,,,,
necessary,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
necessity ,"____, ______",,,,,,,,,,,,,,,,,,,,,,,,
needy,"_____, ____",,,,,,,,,,,,,,,,,,,,,,,,
negative,"1. _____ (__ ___ _____)2. _____, _______",,,,,,,,,,,,,,,,,,,,,,,,
neglect,______,,,,,,,,,,,,,,,,,,,,,,,,
negligence,"______, _____",,,,,,,,,,,,,,,,,,,,,,,,
negotiation,___ ____,,,,,,,,,,,,,,,,,,,,,,,,
negotiators,______ _______,,,,,,,,,,,,,,,,,,,,,,,,
neighboring,"___, _____",,,,,,,,,,,,,,,,,,,,,,,,
neither ,__ __ ___ _______,,,,,,,,,,,,,,,,,,,,,,,,
net,___,,,,,,,,,,,,,,,,,,,,,,,,
nevertheless,_____ ___,,,,,,,,,,,,,,,,,,,,,,,,
nobility,_____,,,,,,,,,,,,,,,,,,,,,,,,
nocturnal,____,,,,,,,,,,,,,,,,,,,,,,,,
nominal,"_______, ____, ___ (__ __)",,,,,,,,,,,,,,,,,,,,,,,,
nomination,_____,,,,,,,,,,,,,,,,,,,,,,,,
nominee,_____,,,,,,,,,,,,,,,,,,,,,,,,
nonetheless,__ __ __ __,,,,,,,,,,,,,,,,,,,,,,,,
notable,____ _____,,,,,,,,,,,,,,,,,,,,,,,,
notably,"______, _____ ____",,,,,,,,,,,,,,,,,,,,,,,,
note,"1. ____2. ___3. ______ , _____",,,,,,,,,,,,,,,,,,,,,,,,
notice,"1. ____ __2. _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
notion,"___, _____, ____",,,,,,,,,,,,,,,,,,,,,,,,
notorious,____ _____,,,,,,,,,,,,,,,,,,,,,,,,
notwithstanding,"_____, __-__-__-__, ___",,,,,,,,,,,,,,,,,,,,,,,,
novel,"1. ____, _____2. ___, ____ ",,,,,,,,,,,,,,,,,,,,,,,,
novelty,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
nuisance,____,,,,,,,,,,,,,,,,,,,,,,,,
numerous,____ __,,,,,,,,,,,,,,,,,,,,,,,,
nutrition,_____,,,,,,,,,,,,,,,,,,,,,,,,
,O,,,,,,,,,,,,,,,,,,,,,,,,
obedience,_____,,,,,,,,,,,,,,,,,,,,,,,,
obesity,_____ ___,,,,,,,,,,,,,,,,,,,,,,,,
obey,_____,,,,,,,,,,,,,,,,,,,,,,,,
object,"1. ___2. ______",,,,,,,,,,,,,,,,,,,,,,,,
objection,_______,,,,,,,,,,,,,,,,,,,,,,,,
objective,__________ (__ _____ _____ __ _______ ______),,,,,,,,,,,,,,,,,,,,,,,,
oblique,"_______, _____, ____, ____",,,,,,,,,,,,,,,,,,,,,,,,
obscene,"__, _____",,,,,,,,,,,,,,,,,,,,,,,,
obscure,"______, __ ____",,,,,,,,,,,,,,,,,,,,,,,,
observation,"1. _____, ____ __2. _____, ________",,,,,,,,,,,,,,,,,,,,,,,,
observe,"_______, ______, _____",,,,,,,,,,,,,,,,,,,,,,,,
obsessed,"___ _______, ____ _____",,,,,,,,,,,,,,,,,,,,,,,,
obstacle,_____,,,,,,,,,,,,,,,,,,,,,,,,
obstinate,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
obstruct,"______, _____, _____, ______",,,,,,,,,,,,,,,,,,,,,,,,
obtain,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
obvious,____ _____,,,,,,,,,,,,,,,,,,,,,,,,
obviously,"____, ___ ___",,,,,,,,,,,,,,,,,,,,,,,,
occasion,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
occasional,"_______, _________, ___________",,,,,,,,,,,,,,,,,,,,,,,,
occasionally,"___ ___, ______",,,,,,,,,,,,,,,,,,,,,,,,
occupation,"1. _____, ______2. _____, _______",,,,,,,,,,,,,,,,,,,,,,,,
occupied,"____, ____, _____",,,,,,,,,,,,,,,,,,,,,,,,
occupy,"1. _____2. ______3. _____",,,,,,,,,,,,,,,,,,,,,,,,
occur,_____,,,,,,,,,,,,,,,,,,,,,,,,
occurrence,"_____, _______",,,,,,,,,,,,,,,,,,,,,,,,
odor,___,,,,,,,,,,,,,,,,,,,,,,,,
odyssey,"________, ___",,,,,,,,,,,,,,,,,,,,,,,,
offend,"______, _____",,,,,,,,,,,,,,,,,,,,,,,,
offensive,"1. _____, ______2. _____",,,,,,,,,,,,,,,,,,,,,,,,
often,"____ ___, _____ ______",,,,,,,,,,,,,,,,,,,,,,,,
omission,_____,,,,,,,,,,,,,,,,,,,,,,,,
omit,______,,,,,,,,,,,,,,,,,,,,,,,,
once,"1. ___ (____)2. ___ ___",,,,,,,,,,,,,,,,,,,,,,,,
onset,"1. _____, _____ 2. _____",,,,,,,,,,,,,,,,,,,,,,,,
opaque,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
operate,"1. _____2. ____ (_____)",,,,,,,,,,,,,,,,,,,,,,,,
operative,"1.______2. ______",,,,,,,,,,,,,,,,,,,,,,,,
opponent,____,,,,,,,,,,,,,,,,,,,,,,,,
opportune,"____, ____, _____",,,,,,,,,,,,,,,,,,,,,,,,
oppose,"______, _____ __, ______",,,,,,,,,,,,,,,,,,,,,,,,
opposing,_____,,,,,,,,,,,,,,,,,,,,,,,,
opposite,"1. ____, ___2. ____, ____",,,,,,,,,,,,,,,,,,,,,,,,
oppress,"____, ____, ____",,,,,,,,,,,,,,,,,,,,,,,,
oppression,_____,,,,,,,,,,,,,,,,,,,,,,,,
optimism,_________,,,,,,,,,,,,,,,,,,,,,,,,
oral,"______, ___ __",,,,,,,,,,,,,,,,,,,,,,,,
orbit,"_____, ____ ______ ____",,,,,,,,,,,,,,,,,,,,,,,,
ordain,"______, _____",,,,,,,,,,,,,,,,,,,,,,,,
ordeal,"___ _______, _____ ___",,,,,,,,,,,,,,,,,,,,,,,,
order,"1. ___2._____, _____, _____, ______3. ______, _____ 4. ____ ",,,,,,,,,,,,,,,,,,,,,,,,
ordinarily,____ ___ ,,,,,,,,,,,,,,,,,,,,,,,,
ordinary,____,,,,,,,,,,,,,,,,,,,,,,,,
organization,_____,,,,,,,,,,,,,,,,,,,,,,,,
orientation,"1. ____,_____2. _____, _______",,,,,,,,,,,,,,,,,,,,,,,,
origin,"____, ____ ",,,,,,,,,,,,,,,,,,,,,,,,
originate,"___, ____, ___, ______",,,,,,,,,,,,,,,,,,,,,,,,
ornament,_____,,,,,,,,,,,,,,,,,,,,,,,,
ornamental,"______, ______",,,,,,,,,,,,,,,,,,,,,,,,
otherwise,"___ __ __, ____",,,,,,,,,,,,,,,,,,,,,,,,
outbreak,_______,,,,,,,,,,,,,,,,,,,,,,,,
outcome,_____,,,,,,,,,,,,,,,,,,,,,,,,
outdo,"_____, _______ __..., _____ ______ _____ ____",,,,,,,,,,,,,,,,,,,,,,,,
outgrowth,"_____, _______, _____",,,,,,,,,,,,,,,,,,,,,,,,
outline,"1. _____, _____, ____2. _____, ____ _____",,,,,,,,,,,,,,,,,,,,,,,,
outspread,"____, _______, _____ ______",,,,,,,,,,,,,,,,,,,,,,,,
outstanding ,____ __ ____,,,,,,,,,,,,,,,,,,,,,,,,
output,_____,,,,,,,,,,,,,,,,,,,,,,,,
outweigh,___ __...,,,,,,,,,,,,,,,,,,,,,,,,
over,"1. ___2. ____ ___3. ______, ____4. _____",,,,,,,,,,,,,,,,,,,,,,,,
overcome,_____,,,,,,,,,,,,,,,,,,,,,,,,
overdo,_____ ___ __ _____,,,,,,,,,,,,,,,,,,,,,,,,
overestimated,_____ ___ __ _____,,,,,,,,,,,,,,,,,,,,,,,,
overlap,___,,,,,,,,,,,,,,,,,,,,,,,,
overlook,"1. ______, _____2. _____ ___, ___ ",,,,,,,,,,,,,,,,,,,,,,,,
overrate,______ ____ ___ __ _____,,,,,,,,,,,,,,,,,,,,,,,,
overqualified,___ ______ ___,,,,,,,,,,,,,,,,,,,,,,,,
oversee,"____, ______",,,,,,,,,,,,,,,,,,,,,,,,
overwhelming,"1. _____, ____2. _____, ____, _____",,,,,,,,,,,,,,,,,,,,,,,,
owing to,"___, ____ ",,,,,,,,,,,,,,,,,,,,,,,,
owl,_____,,,,,,,,,,,,,,,,,,,,,,,,
,P,,,,,,,,,,,,,,,,,,,,,,,,
pace,"1. ___2. ___",,,,,,,,,,,,,,,,,,,,,,,,
pain,___,,,,,,,,,,,,,,,,,,,,,,,,
pale,_____,,,,,,,,,,,,,,,,,,,,,,,,
pamper,"____ , ____",,,,,,,,,,,,,,,,,,,,,,,,
paradoxically,_____ ________,,,,,,,,,,,,,,,,,,,,,,,,
parallel,_____,,,,,,,,,,,,,,,,,,,,,,,,
pardon,_____,,,,,,,,,,,,,,,,,,,,,,,,
part,"1. _____, ____ , ______, _____2. ____3. _____ 4. ___",,,,,,,,,,,,,,,,,,,,,,,,
partial,"_____, ____",,,,,,,,,,,,,,,,,,,,,,,,
participant,_____,,,,,,,,,,,,,,,,,,,,,,,,
particular,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
party,"1. _____2. _____3. _____4. __ (_____ __ _____ __ ____)",,,,,,,,,,,,,,,,,,,,,,,,
pass,"1. _____, _____2. _______3. _____ 4. ____ , ___",,,,,,,,,,,,,,,,,,,,,,,,
passage,"1. ____2. ___ _____3. ___",,,,,,,,,,,,,,,,,,,,,,,,
passionate,"____, ___ _____",,,,,,,,,,,,,,,,,,,,,,,,
passionately,______,,,,,,,,,,,,,,,,,,,,,,,,
path,"____, ___",,,,,,,,,,,,,,,,,,,,,,,,
patient,"1. _____2. _____",,,,,,,,,,,,,,,,,,,,,,,,
pattern,"______, _____, _____, ____",,,,,,,,,,,,,,,,,,,,,,,,
pave,___,,,,,,,,,,,,,,,,,,,,,,,,
pay attention,"____ __, _____ _____",,,,,,,,,,,,,,,,,,,,,,,,
payment,_____,,,,,,,,,,,,,,,,,,,,,,,,
payroll,____ ___,,,,,,,,,,,,,,,,,,,,,,,,
peak,"____, ___",,,,,,,,,,,,,,,,,,,,,,,,
peculiar,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
peculiarly,"____, _____ ____",,,,,,,,,,,,,,,,,,,,,,,,
peer,"1. __ ____ __, __ ____ _____2. ____",,,,,,,,,,,,,,,,,,,,,,,,
pejorative,_____,_____ _____ ____ (__ _____ ________),,,,,,,,,,,,,,,,,,,,,,,
pen,"1. __ 2. _____",,,,,,,,,,,,,,,,,,,,,,,,
penal ,_____,,,,,,,,,,,,,,,,,,,,,,,,
penalty,____,,,,,,,,,,,,,,,,,,,,,,,,
penitence,"_____, ____ ",,,,,,,,,,,,,,,,,,,,,,,,
perceive,"_____, ______, ____",,,,,,,,,,,,,,,,,,,,,,,,
perception,_____,,,,,,,,,,,,,,,,,,,,,,,,
perfect,"1. _____2. _____",,,,,,,,,,,,,,,,,,,,,,,,
perform,"1. ____2. ____, _____",,,,,,,,,,,,,,,,,,,,,,,,
performance,_____,,,,,,,,,,,,,,,,,,,,,,,,
peril,____,,,,,,,,,,,,,,,,,,,,,,,,
period,"1. _____, ____2. _____3. ___",,,,,,,,,,,,,,,,,,,,,,,,
permanent,____,,,,,,,,,,,,,,,,,,,,,,,,
permanently,"_____ ____, _______",,,,,,,,,,,,,,,,,,,,,,,,
permission,____,,,,,,,,,,,,,,,,,,,,,,,,
permit ,"______, _____",,,,,,,,,,,,,,,,,,,,,,,,
perpetuate,_____,,,,,,,,,,,,,,,,,,,,,,,,
perplexed,"1. ____, ____, ____2. ____ ____",,,,,,,,,,,,,,,,,,,,,,,,
perplexing,_____ _____,,,,,,,,,,,,,,,,,,,,,,,,
persevere,"_____, _____, ___",,,,,,,,,,,,,,,,,,,,,,,,
persecution,_____,,,,,,,,,,,,,,,,,,,,,,,,
persist,_____,,,,,,,,,,,,,,,,,,,,,,,,
persistent,"____, _____",,,,,,,,,,,,,,,,,,,,,,,,
perspire,____,,,,,,,,,,,,,,,,,,,,,,,,
persuade,_____,,,,,,,,,,,,,,,,,,,,,,,,
persuasion,"_____, __ ",,,,,,,,,,,,,,,,,,,,,,,,
persuasive,_____,,,,,,,,,,,,,,,,,,,,,,,,
pest,____,,,,,,,,,,,,,,,,,,,,,,,,
pet,"1. ____ ____2. ____, ____",,,,,,,,,,,,,,,,,,,,,,,,
petition,"_____, _____",,,,,,,,,,,,,,,,,,,,,,,,
pertinent,"_______, ____ _____",,,,,,,,,,,,,,,,,,,,,,,,
phase,___,,,,,,,,,,,,,,,,,,,,,,,,
phenomena,______,,,,,,,,,,,,,,,,,,,,,,,,
phenomenon,_____,,,,,,,,,,,,,,,,,,,,,,,,
phrase,"1. _____2. ____",,,,,,,,,,,,,,,,,,,,,,,,
pick,"1. _____2. _____",,,,,,,,,,,,,,,,,,,,,,,,
pinch,"1. ___,2. _____3. ______",,,,,,,,,,,,,,,,,,,,,,,,
pioneer,____,,,,,,,,,,,,,,,,,,,,,,,,
pious,"____, ____",,,,,,,,,,,,,,,,,,,,,,,,
pipe,_____,,,,,,,,,,,,,,,,,,,,,,,,
pit,"1. ___2. _____",,,,,,,,,,,,,,,,,,,,,,,,
pitch,"1. ____ _____2. ___3. ______"," _____ _____, _____, _____",,,,,,,,,,,,,,,,,,,,,,,
place,"1. ____, ___2. ____3. ____, _____, ____",,,,,,,,,,,,,,,,,,,,,,,,
plan,"_____, ______",,,,,,,,,,,,,,,,,,,,,,,,
plane,"1. _____2.  ____",,,,,,,,,,,,,,,,,,,,,,,,
plantation,___,,,,,,,,,,,,,,,,,,,,,,,,
plausible,"_____ __ ____, ____",,,,,,,,,,,,,,,,,,,,,,,,
pledge,"_______, _____",,,,,,,,,,,,,,,,,,,,,,,,
plot,"_____, _____, _____",,,,,,,,,,,,,,,,,,,,,,,,
poem,___,,,,,,,,,,,,,,,,,,,,,,,,
poetry,____,,,,,,,,,,,,,,,,,,,,,,,,
polar,_____,,,,,,,,,,,,,,,,,,,,,,,,
polarize,____,,,,,,,,,,,,,,,,,,,,,,,,
